"","Dest","HourOfDay","MeanDelay","airport","city","state","country","lat","long","CityState"
"1","ABE",0,10,"Lehigh Valley International","Allentown","PA","USA",40.65236278,-75.44040167,"Allentown,PA"
"2","ABE",13,9,"Lehigh Valley International","Allentown","PA","USA",40.65236278,-75.44040167,"Allentown,PA"
"3","ABE",11,12,"Lehigh Valley International","Allentown","PA","USA",40.65236278,-75.44040167,"Allentown,PA"
"4","ABE",8,28,"Lehigh Valley International","Allentown","PA","USA",40.65236278,-75.44040167,"Allentown,PA"
"5","ABE",16,14,"Lehigh Valley International","Allentown","PA","USA",40.65236278,-75.44040167,"Allentown,PA"
"6","ABE",19,41,"Lehigh Valley International","Allentown","PA","USA",40.65236278,-75.44040167,"Allentown,PA"
"7","ABE",17,16,"Lehigh Valley International","Allentown","PA","USA",40.65236278,-75.44040167,"Allentown,PA"
"8","ABE",10,9,"Lehigh Valley International","Allentown","PA","USA",40.65236278,-75.44040167,"Allentown,PA"
"9","ABE",14,25,"Lehigh Valley International","Allentown","PA","USA",40.65236278,-75.44040167,"Allentown,PA"
"10","ABE",20,11,"Lehigh Valley International","Allentown","PA","USA",40.65236278,-75.44040167,"Allentown,PA"
"11","ABE",9,11,"Lehigh Valley International","Allentown","PA","USA",40.65236278,-75.44040167,"Allentown,PA"
"12","ABE",15,11,"Lehigh Valley International","Allentown","PA","USA",40.65236278,-75.44040167,"Allentown,PA"
"13","ABE",12,13,"Lehigh Valley International","Allentown","PA","USA",40.65236278,-75.44040167,"Allentown,PA"
"14","ABE",22,24,"Lehigh Valley International","Allentown","PA","USA",40.65236278,-75.44040167,"Allentown,PA"
"15","ABE",23,13,"Lehigh Valley International","Allentown","PA","USA",40.65236278,-75.44040167,"Allentown,PA"
"16","ABE",21,12,"Lehigh Valley International","Allentown","PA","USA",40.65236278,-75.44040167,"Allentown,PA"
"17","ABE",24,23,"Lehigh Valley International","Allentown","PA","USA",40.65236278,-75.44040167,"Allentown,PA"
"18","ABI",20,16,"Abilene Regional","Abilene","TX","USA",32.41132,-99.68189722,"Abilene,TX"
"19","ABI",11,13,"Abilene Regional","Abilene","TX","USA",32.41132,-99.68189722,"Abilene,TX"
"20","ABI",16,12,"Abilene Regional","Abilene","TX","USA",32.41132,-99.68189722,"Abilene,TX"
"21","ABI",22,14,"Abilene Regional","Abilene","TX","USA",32.41132,-99.68189722,"Abilene,TX"
"22","ABI",18,15,"Abilene Regional","Abilene","TX","USA",32.41132,-99.68189722,"Abilene,TX"
"23","ABI",19,11,"Abilene Regional","Abilene","TX","USA",32.41132,-99.68189722,"Abilene,TX"
"24","ABI",15,0,"Abilene Regional","Abilene","TX","USA",32.41132,-99.68189722,"Abilene,TX"
"25","ABI",14,9,"Abilene Regional","Abilene","TX","USA",32.41132,-99.68189722,"Abilene,TX"
"26","ABI",10,9,"Abilene Regional","Abilene","TX","USA",32.41132,-99.68189722,"Abilene,TX"
"27","ABI",13,7,"Abilene Regional","Abilene","TX","USA",32.41132,-99.68189722,"Abilene,TX"
"28","ABI",21,14,"Abilene Regional","Abilene","TX","USA",32.41132,-99.68189722,"Abilene,TX"
"29","ABI",17,13,"Abilene Regional","Abilene","TX","USA",32.41132,-99.68189722,"Abilene,TX"
"30","ABQ",0,18,"Albuquerque International","Albuquerque","NM","USA",35.04022222,-106.6091944,"Albuquerque,NM"
"31","ABQ",13,9,"Albuquerque International","Albuquerque","NM","USA",35.04022222,-106.6091944,"Albuquerque,NM"
"32","ABQ",20,16,"Albuquerque International","Albuquerque","NM","USA",35.04022222,-106.6091944,"Albuquerque,NM"
"33","ABQ",8,4,"Albuquerque International","Albuquerque","NM","USA",35.04022222,-106.6091944,"Albuquerque,NM"
"34","ABQ",11,7,"Albuquerque International","Albuquerque","NM","USA",35.04022222,-106.6091944,"Albuquerque,NM"
"35","ABQ",10,7,"Albuquerque International","Albuquerque","NM","USA",35.04022222,-106.6091944,"Albuquerque,NM"
"36","ABQ",7,2,"Albuquerque International","Albuquerque","NM","USA",35.04022222,-106.6091944,"Albuquerque,NM"
"37","ABQ",18,13,"Albuquerque International","Albuquerque","NM","USA",35.04022222,-106.6091944,"Albuquerque,NM"
"38","ABQ",12,9,"Albuquerque International","Albuquerque","NM","USA",35.04022222,-106.6091944,"Albuquerque,NM"
"39","ABQ",15,14,"Albuquerque International","Albuquerque","NM","USA",35.04022222,-106.6091944,"Albuquerque,NM"
"40","ABQ",22,15,"Albuquerque International","Albuquerque","NM","USA",35.04022222,-106.6091944,"Albuquerque,NM"
"41","ABQ",14,10,"Albuquerque International","Albuquerque","NM","USA",35.04022222,-106.6091944,"Albuquerque,NM"
"42","ABQ",17,9,"Albuquerque International","Albuquerque","NM","USA",35.04022222,-106.6091944,"Albuquerque,NM"
"43","ABQ",9,6,"Albuquerque International","Albuquerque","NM","USA",35.04022222,-106.6091944,"Albuquerque,NM"
"44","ABQ",24,13,"Albuquerque International","Albuquerque","NM","USA",35.04022222,-106.6091944,"Albuquerque,NM"
"45","ABQ",1,46,"Albuquerque International","Albuquerque","NM","USA",35.04022222,-106.6091944,"Albuquerque,NM"
"46","ABQ",21,20,"Albuquerque International","Albuquerque","NM","USA",35.04022222,-106.6091944,"Albuquerque,NM"
"47","ABQ",16,12,"Albuquerque International","Albuquerque","NM","USA",35.04022222,-106.6091944,"Albuquerque,NM"
"48","ABQ",19,15,"Albuquerque International","Albuquerque","NM","USA",35.04022222,-106.6091944,"Albuquerque,NM"
"49","ABQ",23,17,"Albuquerque International","Albuquerque","NM","USA",35.04022222,-106.6091944,"Albuquerque,NM"
"50","ABY",13,8,"Southwest Georgia Regional","Albany","GA","USA",31.535515,-84.19447333,"Albany,GA"
"51","ABY",21,14,"Southwest Georgia Regional","Albany","GA","USA",31.535515,-84.19447333,"Albany,GA"
"52","ABY",10,12,"Southwest Georgia Regional","Albany","GA","USA",31.535515,-84.19447333,"Albany,GA"
"53","ABY",15,6,"Southwest Georgia Regional","Albany","GA","USA",31.535515,-84.19447333,"Albany,GA"
"54","ABY",16,23,"Southwest Georgia Regional","Albany","GA","USA",31.535515,-84.19447333,"Albany,GA"
"55","ABY",22,16,"Southwest Georgia Regional","Albany","GA","USA",31.535515,-84.19447333,"Albany,GA"
"56","ABY",14,13,"Southwest Georgia Regional","Albany","GA","USA",31.535515,-84.19447333,"Albany,GA"
"57","ABY",20,14,"Southwest Georgia Regional","Albany","GA","USA",31.535515,-84.19447333,"Albany,GA"
"58","ABY",17,18,"Southwest Georgia Regional","Albany","GA","USA",31.535515,-84.19447333,"Albany,GA"
"59","ABY",12,20,"Southwest Georgia Regional","Albany","GA","USA",31.535515,-84.19447333,"Albany,GA"
"60","ABY",11,18,"Southwest Georgia Regional","Albany","GA","USA",31.535515,-84.19447333,"Albany,GA"
"61","ACK",18,42,"Nantucket Memorial","Nantucket","MA","USA",41.25305194,-70.06018139,"Nantucket,MA"
"62","ACK",20,56,"Nantucket Memorial","Nantucket","MA","USA",41.25305194,-70.06018139,"Nantucket,MA"
"63","ACK",23,65,"Nantucket Memorial","Nantucket","MA","USA",41.25305194,-70.06018139,"Nantucket,MA"
"64","ACK",10,15,"Nantucket Memorial","Nantucket","MA","USA",41.25305194,-70.06018139,"Nantucket,MA"
"65","ACK",7,1,"Nantucket Memorial","Nantucket","MA","USA",41.25305194,-70.06018139,"Nantucket,MA"
"66","ACK",11,17,"Nantucket Memorial","Nantucket","MA","USA",41.25305194,-70.06018139,"Nantucket,MA"
"67","ACK",22,49,"Nantucket Memorial","Nantucket","MA","USA",41.25305194,-70.06018139,"Nantucket,MA"
"68","ACK",12,13,"Nantucket Memorial","Nantucket","MA","USA",41.25305194,-70.06018139,"Nantucket,MA"
"69","ACK",15,32,"Nantucket Memorial","Nantucket","MA","USA",41.25305194,-70.06018139,"Nantucket,MA"
"70","ACK",21,66,"Nantucket Memorial","Nantucket","MA","USA",41.25305194,-70.06018139,"Nantucket,MA"
"71","ACT",22,11,"Waco Regional","Waco","TX","USA",31.61128833,-97.23051917,"Waco,TX"
"72","ACT",14,14,"Waco Regional","Waco","TX","USA",31.61128833,-97.23051917,"Waco,TX"
"73","ACT",21,6,"Waco Regional","Waco","TX","USA",31.61128833,-97.23051917,"Waco,TX"
"74","ACT",15,11,"Waco Regional","Waco","TX","USA",31.61128833,-97.23051917,"Waco,TX"
"75","ACT",9,7,"Waco Regional","Waco","TX","USA",31.61128833,-97.23051917,"Waco,TX"
"76","ACT",10,2,"Waco Regional","Waco","TX","USA",31.61128833,-97.23051917,"Waco,TX"
"77","ACT",13,10,"Waco Regional","Waco","TX","USA",31.61128833,-97.23051917,"Waco,TX"
"78","ACT",17,11,"Waco Regional","Waco","TX","USA",31.61128833,-97.23051917,"Waco,TX"
"79","ACT",11,8,"Waco Regional","Waco","TX","USA",31.61128833,-97.23051917,"Waco,TX"
"80","ACV",13,36,"Arcata","Arcata/Eureka","CA","USA",40.97811528,-124.1086189,"Arcata/Eureka,CA"
"81","ACV",19,18,"Arcata","Arcata/Eureka","CA","USA",40.97811528,-124.1086189,"Arcata/Eureka,CA"
"82","ACV",23,9,"Arcata","Arcata/Eureka","CA","USA",40.97811528,-124.1086189,"Arcata/Eureka,CA"
"83","ACV",8,6,"Arcata","Arcata/Eureka","CA","USA",40.97811528,-124.1086189,"Arcata/Eureka,CA"
"84","ACV",18,16,"Arcata","Arcata/Eureka","CA","USA",40.97811528,-124.1086189,"Arcata/Eureka,CA"
"85","ACV",17,19,"Arcata","Arcata/Eureka","CA","USA",40.97811528,-124.1086189,"Arcata/Eureka,CA"
"86","ACV",12,10,"Arcata","Arcata/Eureka","CA","USA",40.97811528,-124.1086189,"Arcata/Eureka,CA"
"87","ACV",22,13,"Arcata","Arcata/Eureka","CA","USA",40.97811528,-124.1086189,"Arcata/Eureka,CA"
"88","ACV",20,8,"Arcata","Arcata/Eureka","CA","USA",40.97811528,-124.1086189,"Arcata/Eureka,CA"
"89","ACV",0,4,"Arcata","Arcata/Eureka","CA","USA",40.97811528,-124.1086189,"Arcata/Eureka,CA"
"90","ACV",7,8,"Arcata","Arcata/Eureka","CA","USA",40.97811528,-124.1086189,"Arcata/Eureka,CA"
"91","ACV",21,9,"Arcata","Arcata/Eureka","CA","USA",40.97811528,-124.1086189,"Arcata/Eureka,CA"
"92","ACV",11,65,"Arcata","Arcata/Eureka","CA","USA",40.97811528,-124.1086189,"Arcata/Eureka,CA"
"93","ACV",14,34,"Arcata","Arcata/Eureka","CA","USA",40.97811528,-124.1086189,"Arcata/Eureka,CA"
"94","ACV",9,29,"Arcata","Arcata/Eureka","CA","USA",40.97811528,-124.1086189,"Arcata/Eureka,CA"
"95","ACV",15,27,"Arcata","Arcata/Eureka","CA","USA",40.97811528,-124.1086189,"Arcata/Eureka,CA"
"96","ACV",16,32,"Arcata","Arcata/Eureka","CA","USA",40.97811528,-124.1086189,"Arcata/Eureka,CA"
"97","ACV",24,16,"Arcata","Arcata/Eureka","CA","USA",40.97811528,-124.1086189,"Arcata/Eureka,CA"
"98","ACV",10,12,"Arcata","Arcata/Eureka","CA","USA",40.97811528,-124.1086189,"Arcata/Eureka,CA"
"99","ACY",16,8,"Atlantic City International","Atlantic City","NJ","USA",39.45758333,-74.57716667,"Atlantic City,NJ"
"100","ACY",15,29,"Atlantic City International","Atlantic City","NJ","USA",39.45758333,-74.57716667,"Atlantic City,NJ"
"101","ACY",22,9,"Atlantic City International","Atlantic City","NJ","USA",39.45758333,-74.57716667,"Atlantic City,NJ"
"102","ADK",17,12,"Adak","Adak","AK","USA",51.87796389,-176.6460306,"Adak,AK"
"103","ADK",16,14,"Adak","Adak","AK","USA",51.87796389,-176.6460306,"Adak,AK"
"104","ADQ",8,8,"Kodiak ","Kodiak","AK","USA",57.74996778,-152.4938553,"Kodiak,AK"
"105","ADQ",16,8,"Kodiak ","Kodiak","AK","USA",57.74996778,-152.4938553,"Kodiak,AK"
"106","ADQ",17,12,"Kodiak ","Kodiak","AK","USA",57.74996778,-152.4938553,"Kodiak,AK"
"107","ADQ",15,12,"Kodiak ","Kodiak","AK","USA",57.74996778,-152.4938553,"Kodiak,AK"
"108","ADQ",7,4,"Kodiak ","Kodiak","AK","USA",57.74996778,-152.4938553,"Kodiak,AK"
"109","AEX",11,11,"Alexandria International","Alexandria","LA","USA",31.32737167,-92.54855611,"Alexandria,LA"
"110","AEX",19,11,"Alexandria International","Alexandria","LA","USA",31.32737167,-92.54855611,"Alexandria,LA"
"111","AEX",18,0,"Alexandria International","Alexandria","LA","USA",31.32737167,-92.54855611,"Alexandria,LA"
"112","AEX",16,18,"Alexandria International","Alexandria","LA","USA",31.32737167,-92.54855611,"Alexandria,LA"
"113","AEX",21,13,"Alexandria International","Alexandria","LA","USA",31.32737167,-92.54855611,"Alexandria,LA"
"114","AEX",10,11,"Alexandria International","Alexandria","LA","USA",31.32737167,-92.54855611,"Alexandria,LA"
"115","AEX",22,16,"Alexandria International","Alexandria","LA","USA",31.32737167,-92.54855611,"Alexandria,LA"
"116","AEX",12,10,"Alexandria International","Alexandria","LA","USA",31.32737167,-92.54855611,"Alexandria,LA"
"117","AEX",14,12,"Alexandria International","Alexandria","LA","USA",31.32737167,-92.54855611,"Alexandria,LA"
"118","AEX",17,0,"Alexandria International","Alexandria","LA","USA",31.32737167,-92.54855611,"Alexandria,LA"
"119","AEX",20,23,"Alexandria International","Alexandria","LA","USA",31.32737167,-92.54855611,"Alexandria,LA"
"120","AGS",10,10,"Bush ","Augusta","GA","USA",33.369955,-81.96449611,"Augusta,GA"
"121","AGS",14,25,"Bush ","Augusta","GA","USA",33.369955,-81.96449611,"Augusta,GA"
"122","AGS",17,21,"Bush ","Augusta","GA","USA",33.369955,-81.96449611,"Augusta,GA"
"123","AGS",11,13,"Bush ","Augusta","GA","USA",33.369955,-81.96449611,"Augusta,GA"
"124","AGS",13,9,"Bush ","Augusta","GA","USA",33.369955,-81.96449611,"Augusta,GA"
"125","AGS",23,17,"Bush ","Augusta","GA","USA",33.369955,-81.96449611,"Augusta,GA"
"126","AGS",9,10,"Bush ","Augusta","GA","USA",33.369955,-81.96449611,"Augusta,GA"
"127","AGS",20,12,"Bush ","Augusta","GA","USA",33.369955,-81.96449611,"Augusta,GA"
"128","AGS",15,17,"Bush ","Augusta","GA","USA",33.369955,-81.96449611,"Augusta,GA"
"129","AGS",21,26,"Bush ","Augusta","GA","USA",33.369955,-81.96449611,"Augusta,GA"
"130","AGS",18,22,"Bush ","Augusta","GA","USA",33.369955,-81.96449611,"Augusta,GA"
"131","AGS",19,28,"Bush ","Augusta","GA","USA",33.369955,-81.96449611,"Augusta,GA"
"132","AGS",8,5,"Bush ","Augusta","GA","USA",33.369955,-81.96449611,"Augusta,GA"
"133","AGS",12,21,"Bush ","Augusta","GA","USA",33.369955,-81.96449611,"Augusta,GA"
"134","AGS",22,15,"Bush ","Augusta","GA","USA",33.369955,-81.96449611,"Augusta,GA"
"135","AGS",16,16,"Bush ","Augusta","GA","USA",33.369955,-81.96449611,"Augusta,GA"
"136","AKN",11,4,"King Salmon","King Salmon","AK","USA",58.67680167,-156.6492175,"King Salmon,AK"
"137","AKN",16,22,"King Salmon","King Salmon","AK","USA",58.67680167,-156.6492175,"King Salmon,AK"
