"","UniqueCarrier","Origin","Dest","PctOnTime"
"10","9E","ATL","CAE",1
"17","9E","ATL","DFW",1
"33","9E","ATL","MSY",1
"154","9E","DFW","ATL",1
"214","9E","DTW","MDW",1
"219","9E","DTW","MSP",1
"325","9E","LGA","DTW",1
"330","9E","LGA","MSY",1
"349","9E","MDW","DTW",1
"473","9E","MSP","MEM",1
"474","9E","MSP","MKE",1
"563","9E","SDF","CVG",1
"858","AA","MIA","FLL",1
"1282","B6","BOS","BTV",1
"1475","B6","PHX","BOS",1
"1543","CO","AGS","ATL",1
"1567","CO","CLE","CMH",1
"1592","CO","CMH","CLE",1
"1753","CO","LAX","CMH",1
"1772","CO","MSY","CMH",1
"1780","CO","OMA","EWR",1
"1783","CO","ORD","CLE",1
"2100","DL","LAS","LAX",1
"2447","EV","BHM","MCO",1
"2539","EV","CVG","PFN",1
"2548","EV","CVG","SAV",1
"2551","EV","CVG","SRQ",1
"2553","EV","CVG","TOL",1
"2600","EV","GSO","LGA",1
"2621","EV","IND","CVG",1
"2643","EV","LGA","GSO",1
"2651","EV","LIT","MCO",1
"2663","EV","MCO","LIT",1
"2695","EV","MSY","CVG",1
"2708","EV","PFN","CVG",1
"2735","EV","SAT","CVG",1
"2747","EV","SRQ","CVG",1
"2759","EV","TOL","CVG",1
"2760","EV","TPA","ATL",1
"2774","EV","VPS","CVG",1
"2796","F9","DEN","BTR",1
"2836","F9","DEN","TUL",1
"3084","FL","MCO","BTV",1
"3092","FL","MCO","DEN",1
"3221","FL","SFO","PHL",1
"3728","NW","AUS","MEM",1
"3829","NW","DTW","PLN",1
"3848","NW","DTW","XNA",1
"3940","NW","MEM","BDL",1
"3982","NW","MEM","XNA",1
"4043","NW","MSP","LIT",1
"4069","NW","MSP","SBN",1
"4082","NW","MSP","XNA",1
"4108","NW","PLN","DCA",1
"4109","NW","PLN","DTW",1
"4117","NW","ROC","MSP",1
"4129","NW","SBN","MSP",1
"4166","NW","XNA","DTW",1
"4167","NW","XNA","MEM",1
"4168","NW","XNA","MSP",1
"4197","OH","ATL","CHS",1
"4265","OH","BDL","ATL",1
"4329","OH","CHO","CVG",1
"4336","OH","CHS","SAV",1
"4436","OH","CVG","ROA",1
